WORD,DEFINITION,FILTERED  BY CHARACTERS
spank,"The word 'spank' is a verb that means to strike someone, typically a child, on the buttocks with an open hand as a form of punishment or discipline. It can also be used as a noun referring to the act of striking in this way or the sound produced by the action. Additionally, 'spank' can imply a playful or lighthearted context, as in playful slapping. The term carries various connotations depending on the context in which it is used.",5
spar,"The word ""spar"" can have several meanings in English, depending on the context:

1. **In nautical terms**: A spar is a long, slender pole used on ships to support sails, rigging, or other equipment. Examples include masts, booms, and gaffs.

2. **In boxing or martial arts**: To spar means to practice fighting with an opponent, typically in a controlled and non-aggressive manner, to improve techniques and skills.

3. **As a noun in geology**: A spar can refer to a mineral that occurs in a crystalline form, often used to describe certain types of spar minerals like barite or calcite.

4. **In general usage**: The verb ""to spar"" can mean to engage in a dispute or argument in a light-hearted or playful way.

These definitions reflect the versatility of the word ""spar"" in different contexts.",4
Spar,"The word ""spar"" can have several meanings in English:

1. **Noun**: In a nautical context, a spar refers to a long, slender pole used to support the sail of a ship, such as a mast or boom.

2. **Noun**: In sports or martial arts, sparring refers to practice fighting or engaging in mock combat to develop skills, typically without the intention of causing injury.

3. **Verb**: To spar means to engage in a practice fight or to strike lightly; it can also refer to a friendly exchange of words or arguments.

4. **Noun**: In geology, spar can also refer to certain types of minerals, particularly those that are crystalline, such as spar calcite or barite.

The exact meaning often depends on the context in which the word is used.",4
spare,"The word ""spare"" can function as both a verb and an adjective, and it also has a noun form. Here are the definitions for each:

**As an adjective:**
1. Additional to what is usual or needed; extra (e.g., spare change).
2. Having few, if any, luxuries; simple and functional (e.g., a spare room).
3. Thin or lean in body; not excessive in weight (e.g., a spare figure).

**As a verb:**
1. To give something that is needed to someone else (e.g., to spare some time).
2. To refrain from harming or taking action against (e.g., to spare someone’s feelings).

**As a noun:**
1. An extra item or substitute kept in reserve (e.g., a spare tire).
2. In bowling, an achievement of knocking down all the pins with two rolls.

Overall, the concept of ""spare"" generally conveys the idea of something being additional, extra, or available for use when needed.",5
spark,"The word 'spark' can have multiple meanings depending on the context:

1. **Noun**: A small, fiery particle that is emitted from a burning object, or a flash of light. For example, sparks can fly from a campfire or from striking metal against metal.

2. **Noun**: A trace of a specified quality or feeling; for example, ""a spark of enthusiasm"" refers to a small but noticeable amount of enthusiasm.

3. **Verb**: To emit or produce sparks; to ignite or trigger (e.g., ""to spark a debate"").

4. **Verb**: To initiate or stimulate something, such as an idea or a feeling (e.g., ""to spark interest"").

In a broader sense, 'spark' conveys the idea of ignition, initiation, or the beginning of something, typically something dynamic or energetic.",5
spasm,"The word ""spasm"" refers to a sudden involuntary contraction or tightening of a muscle or group of muscles. It can also describe a sudden burst of activity or emotion, such as a spasm of laughter or crying. In a medical context, spasms can be painful and may occur in various parts of the body.",5
spat,"The word ""spat"" can have several meanings in English:

1. **As a noun**: It refers to a brief, petty argument or dispute. For example, ""They had a spat over whose turn it was to do the dishes.""

2. **As a verb**: It means to engage in a brief and often trivial quarrel. For example, ""The siblings spat over what to watch on TV.""

3. Additionally, in a different context, ""spat"" can refer to a young fish, especially in reference to the eggs of some fish species, or it can also be a term used to describe the act of a small fish expelling its eggs (spawning).

4. **As a distinct noun**: In a more colloquial context, especially in British English, a ""spat"" can refer to a protective covering for the lower part of a leg, sometimes called a ""spat"" in relation to certain types of footwear.

Overall, ""spat"" often conveys the notion of something minor or trivial in nature, such as a disagreement or a small incident.",4
spate,"The word 'spate' refers to a large number or amount of something, often happening suddenly or in a short period of time. It is commonly used to describe an occurrence of floods or a sudden rush of water, but it can also refer to a series of events, such as a spate of crime or a spate of good fortune. In essence, it conveys the idea of a sudden, often overwhelming increase.",5
spawn,"The word ""spawn"" typically refers to the process by which certain organisms, particularly fish, amphibians, and some invertebrates, reproduce by releasing eggs or offspring into the environment. It can also mean to generate or produce something in a broader context, such as ideas, results, or even problems. In a more figurative sense, ""spawn"" can imply the emergence of something as a result of a particular cause or event. 

As a verb, it can be used in sentences like ""The frogs spawn in the spring."" As a noun, it often refers to the eggs or young produced, as in ""The lake was full of fish spawn.""",5
spear,"The word ""spear"" in English can be defined as follows:

1. **Noun**: A spear is a long, pointed weapon typically made of a shaft of wood or metal, with a sharp head, used for thrusting or throwing. It is one of the oldest weapons and has been used historically in hunting and warfare.

2. **Verb**: To spear means to pierce or stab with a spear or a similar pointed object. It can also refer to the act of catching fish by thrusting a spear-like tool into the water.

In a broader context, ""spear"" can also refer to any long, pointed object that resembles a spear in shape or function.",5
spec,"The word ""spec"" is short for ""specification."" It refers to a detailed description or requirement that outlines the characteristics, features, or standards of something, such as a product, design, or system. ""Spec"" can also refer to a document that includes these details to guide development or production. In a more informal context, it may be used as a verb meaning to specify or outline details. Additionally, in certain contexts, particularly in technology or engineering, ""spec"" can refer to the technical specifications of a product.",4
speck,"The word ""speck"" refers to a small spot or a tiny particle of something, often used to describe a minute amount of a substance that is usually hardly noticeable. It can also be used to describe a small mark or stain on a surface. In a broader context, ""speck"" can imply insignificance or smallness in size or importance.",5
specs,"The word ""specs"" is a colloquial or informal abbreviation for ""specifications."" It typically refers to detailed descriptions or requirements for the features, designs, and functionalities of an object, product, or system. In various contexts, it can also refer to technical aspects of items such as electronics, vehicles, or software. Additionally, ""specs"" can informally denote spectacles or glasses used for vision correction.",5
speed,"The word ""speed"" refers to the rate at which someone or something moves, travels, or operates. It can be measured as the distance covered per unit of time (e.g., miles per hour or meters per second). In a broader context, ""speed"" can also denote the quickness of action, performance, or progress in various activities or processes. Additionally, in physics, speed is a scalar quantity that describes how fast an object is moving, without regard to its direction.",5
speer,"The word ""speer"" is an alternative form of the word ""spare,"" often used in Scottish dialects. It commonly means to ask, inquire, or seek information about something. In a broader sense, it can also refer to an inquiry or a question. 

If you meant a different usage or context for ""speer,"" please provide more details!",5
spell,"The word ""spell"" has multiple meanings in English:

1. **Verb**: To form words or names with letters in the correct sequence. For example, ""Can you spell your name?""
   
2. **Noun**: A sequence of letters that represent a word. For example, ""The correct spell for the word is 'accommodate.'""

3. **Noun**: A period or interval of time, often used in phrases like ""a spell of good weather"" or ""a spell of hard work.""

4. **Noun**: In a magical context, ""spell"" refers to a ritual or incantation believed to have magical powers. For example, ""She cast a spell to ward off evil spirits.""

The context in which the word is used will determine its specific meaning.",5
spelt,"The word ""spelt"" has two primary meanings in English:

1. **Grain**: Spelt refers to a type of ancient wheat (Triticum spelta) that is cultivated for its nutty-flavored grain. It is considered a more nutritious alternative to common wheat and is often used in baking and cooking.

2. **Past Tense of Spell**: Spelt is also the past tense and past participle of the verb ""spell,"" meaning to write or name the letters of a word in the correct sequence. For example, ""She spelt her name aloud.""

Context is important to determine which meaning is being used.",5
sperm,"The term ""sperm"" refers to the male reproductive cell or gamete in sexually reproducing organisms. In humans and most animals, sperm cells are typically motile and are produced in the male reproductive organs. They are responsible for fertilizing the female egg (ovum) during reproduction. In a broader biological context, ""sperm"" can also denote similar cells in various species, including plants and algae, where they play a role in sexual reproduction.",5
spica,"The word ""spica"" has a couple of meanings in English, primarily in the fields of botany and astronomy:

1. **Botany**: In botany, ""spica"" refers to a type of flower cluster that is an inflorescence. Specifically, it is a spike, which is a simple, elongated cluster of flowers that are attached directly to the stem, without stalks (pedicels).

2. **Astronomy**: In astronomy, ""Spica"" is the name of a prominent star in the constellation Virgo. It is one of the brightest stars in the night sky and is classified as a blue giant.

Depending on the context, ""spica"" can refer to either of these definitions.",5
Spica,"""Spica"" is a term that has a couple of meanings:

1. In astronomy, Spica is the name of the brightest star in the constellation Virgo. It is a blue giant star and is one of the closest giant stars to Earth.

2. In botany, ""spica"" (derived from the Latin word for ear of grain) refers to a specific type of inflorescence where flowers are arranged along a central stem, typically seen in plants like wheat and barley. This structure can be referred to as a spike.

The context in which the term is used will determine its specific meaning.",5
spice,"The word ""spice"" refers to a substance, typically a dried seed, fruit, root, bark, or other plant part, used primarily for flavoring, coloring, or preserving food. Spices are distinct from herbs, which are usually the green, leafy parts of plants. Additionally, ""spice"" can also refer to the quality of being exciting or interesting in a non-literal sense, such as adding ""spice"" to a conversation or activity to make it more engaging.",5
spick,"The word ""spick"" is an adjective that means neat, tidy, or well-groomed. It is often used in expressions like ""spick and span,"" which means clean and in excellent condition. The term can also imply a sense of being new or freshly made.",5
spiel,"The word ""spiel"" refers to a lengthy or extravagant speech or argument usually intended to persuade or sell something. It can also imply a rehearsed or practiced discourse. Additionally, in a more casual context, it can be used to describe any kind of talk or narrative that may be used to explain or justify something. The term often carries a connotation of being somewhat insincere or overly polished.",5
spiff,"The word ""spiff"" can function as a verb and as a noun. As a verb, it means to make something appear more attractive or stylish; to smarten up. As a noun, it can refer to a stylish or attractive appearance, or to something that adds to the effectiveness or appeal of something else. The term often conveys a sense of enhancement or improvement. In some contexts, ""spiff"" may also refer to a bonus or incentive given to salespeople for selling products.",5
spile,"The word 'spile' is a noun and a verb. 

As a noun, 'spile' refers to a small tube or spigot used to draw liquid from a cask or container, often employed in the context of tapping trees for sap or collecting liquids from barrels.

As a verb, 'to spile' means to insert a spile into a container or tree in order to draw off a liquid, such as sap from a maple tree.

Overall, it primarily pertains to the act of tapping or drawing liquid through a small opening.",5
spill,"The word ""spill"" is a verb that means to accidentally cause liquid or other substances to flow or fall out of a container, often resulting in a mess. It can also refer to the act of pouring out something from a container. As a noun, ""spill"" can refer to the act of spilling or the substance that has been spilled. Additionally, ""spill"" can be used informally to mean to reveal or share information, especially secrets or personal details. 

Example sentences:
- ""Be careful not to spill your drink.""
- ""There was a spill on the floor that needed to be cleaned up.""
- ""She decided to spill the beans about the surprise party.""",5
spin,"The word ""spin"" has several meanings in English:

1. **Verb**: To turn or rotate around a central point or axis. For example, ""The child spun in circles on the playground.""

2. **Verb**: To generate or produce something, often with a connotation of creating a narrative or perspective. For example, ""The politician tried to spin the news in his favor.""

3. **Noun**: The act of spinning; a rotation or twist. For example, ""Give the top a spin and watch it twirl.""

4. **Noun**: A particular interpretation or presentation of information, especially in a biased or subjective manner. For example, ""The media's spin on the event influenced public perception.""

5. **Noun (in sports)**: A specific type of shot or movement that involves imparting rotation to an object, such as a ball.

Depending on the context, ""spin"" can refer to both physical motion and metaphorical interpretations or influences.",4
spine,"The word ""spine"" has several meanings:

1. **Anatomy**: In a biological context, the spine refers to the column of vertebrae that extends from the base of the skull to the lower back, providing structure, support, and protection to the spinal cord.

2. **Botany**: In botany, a spine is a stiff, sharp-pointed structure found on certain plants, such as cacti, which serves as a defense mechanism against herbivores.

3. **Books**: In relation to books, the spine is the edge of a book that is opposite the pages, where it is typically bound and often contains the title and author’s name.

4. **Figurative Use**: The term can be used figuratively to refer to courage or strength of character, as in ""to have spine.""

These definitions highlight the diverse contexts in which the word ""spine"" can be used.",5
spire,"The word ""spire"" has a few related meanings:

1. **Architectural**: A spire is typically a tapering, pointed structure that rises above a building, often found on churches or cathedrals. It can be part of a steeple or tower and is often decorative.

2. **Botanical**: In botany, a spire can refer to a slender, pointed growth or a type of flower cluster.

3. **Figurative**: It can also be used metaphorically to describe something that rises or reaches upwards, as in aspirations or ambitions.

Overall, the common element in these definitions is the notion of something that is pointed or rises upward.",5
spirt,"The word ""spirt"" is a verb that means to send out a jet or stream of liquid or gas. It can refer to the action of squirting or spraying a liquid in a forceful manner. The term is often used in contexts involving fluids, such as water, when it comes out in a sudden burst. Additionally, ""spirt"" may appear in colloquial or dialectal use, but it's less common than its more standard forms.",5
spit,"The word ""spit"" can have several meanings depending on the context:

1. **Verb**: To eject saliva from the mouth. For example, one might spit out gum or spit on the ground.
2. **Noun**: A small amount of saliva that has been ejected, or the act of spitting itself.
3. **Noun**: A thin pointed piece of metal or wood used for holding food, especially meat, over a fire for cooking (as in a spit roast).
4. **Noun**: A narrow strip of land that juts out into a body of water, often created by the deposition of sediment (e.g., a sand spit).

These definitions encompass physical actions as well as specific objects and geographical features.",4
spite,"The word ""spite"" refers to a feeling of malicious intent or a desire to hurt, annoy, or offend someone. It often involves acting out of anger or resentment, typically in a way that is intended to cause distress to another person. Additionally, ""spite"" can also function as a verb, meaning to deliberately hurt or annoy someone.",5
spitz,"The word ""spitz"" can refer to a few different things in English:

1. **Type of Dog**: ""Spitz"" is often used to describe a group of breeds known for their pointed ears, thick fur, and bushy tails. Examples include the Alaskan Malamute, Siberian Husky, and Pomeranian. These dogs typically have a strong, wolf-like appearance and are known for their intelligence and loyalty.

2. **Culinary Term**: In culinary contexts, ""spitz"" can refer to a type of knife used in culinary preparations, though this usage is less common.

3. **Geographical Reference**: The term can also refer to a specific point or peak, particularly in geographical names in German-speaking regions.

Please provide additional context if you need a more specific definition!",5
spiv,"The word ""spiv"" is a British slang term that typically refers to a person, often a man, who engages in dishonest or dubious business practices, especially those that involve making a profit in a shady or unscrupulous manner. It can also denote someone who is flashy in appearance but lacks genuine sophistication or depth. Historically, it has been associated with the post-World War II era in the UK, where spivs were often seen as black market traders or opportunists.",4
splat,"The word ""splat"" is an informal term that can function as both a noun and a verb. 

As a noun, ""splat"" refers to a sound or the act of something wet or soft hitting a surface with force, often resulting in a splattered effect. For example, it can describe the sound made when a splash of liquid lands on a hard surface.

As a verb, ""to splat"" means to cause something to break open or burst with a splashing sound or effect. It often involves a messy or chaotic impact.

Overall, ""splat"" conveys a sense of abruptness and is often associated with messiness or splattering.",5
splay,"The word ""splay"" is a verb that means to spread out or expand in a way that creates a wide, open position. It can refer to the action of extending or bending something outward, such as fingers or limbs. As a noun, ""splay"" can describe the act of spreading or a surface that is set at an angle. It is often used in contexts related to movement, posture, or positioning. For example, one might say, ""She splayed her fingers on the table,"" meaning she spread her fingers out widely.",5
split,"The word ""split"" can function as both a verb and a noun and has several meanings:

**As a verb:**
1. **To divide or separate into parts:** For example, to split a piece of wood or to split a bill among friends.
2. **To break or tear apart:** Such as splitting a seam or a piece of fruit.
3. **To share or distribute:** To split the profits from a business venture.
4. **To leave or depart quickly:** Informally used, e.g., to split from a gathering.

**As a noun:**
1. **A division or separation:** Referring to a break or a crack in an object or idea.
2. **An act of splitting:** For example, a split in a rope or the split of the group.
3. **A type of gymnastic position:** Such as a split where the legs are extended in opposite directions.

Overall, ""split"" generally involves the idea of division, separation, or distribution.",5
Spock,"""Spock"" is a proper noun most commonly associated with a fictional character from the ""Star Trek"" franchise. Spock is a Vulcan-human hybrid who serves as the science officer and first officer aboard the starship USS Enterprise. He is known for his logical thinking, lack of emotional expression, and iconic pointed ears. The character was originally portrayed by Leonard Nimoy in the original series and has since been represented by other actors in various iterations of ""Star Trek."" The name ""Spock"" may also refer to various quotes, cultural references, or merchandise related to the character. In a broader context, ""Spock"" can symbolize a logical approach to problems, often in contrast to more emotional reactions.",5
spode,"The word ""spode"" can refer to a British brand known for its fine pottery and porcelain, particularly its blue and white china. Additionally, ""spode"" is sometimes used informally or humorously to describe a clumsy person or someone who is considered less than fashionable. It can also refer to a particular type of decorative style associated with the Spode brand. Depending on the context, the meaning may vary.",5
spoil,"The word ""spoil"" has several meanings in English:

1. **To ruin or damage**: To make something less enjoyable, effective, or valuable. For example, ""The rain spoiled our picnic plans.""

2. **To rot or decay**: To refer to food becoming inedible or unsafe to eat. For example, ""The milk has spoiled.""

3. **To pamper or indulge excessively**: To treat someone, especially a child, with excessive kindness or leniency. For example, ""If you spoil your child, they may become demanding.""

4. **Noun form**: Refers to goods taken from a defeated enemy or from a crime, often used in the phrase ""to the victor belong the spoils.""

The context in which the word is used will determine its specific meaning.",5
spoke,"The word ""spoke"" is the past tense of the verb ""speak,"" meaning to have communicated or expressed thoughts, ideas, or feelings through spoken language. Additionally, ""spoke"" can refer to a rod or a bar that connects the center of a wheel to its outer rim, helping to support and shape the wheel structure. The term can be used in different contexts depending on the intended meaning.",5
spoof,"The word 'spoof' can function as both a noun and a verb.

As a noun, 'spoof' refers to a humorous or satirical imitation of something, often intended to mock or make fun of the original. For example, a spoof can be a parody of a movie, television show, or other media.

As a verb, 'to spoof' means to imitate or exaggerate something in a humorous or mocking way. It can also refer to tricking or deceiving someone, often in a light-hearted context.

In technology, 'spoofing' can refer to pretending to be someone else or disguising one’s identity, such as in spoofing an email address or IP address.",5
spook,"The word ""spook"" can function as both a verb and a noun.

As a verb, ""spook"" means to frighten or startle someone unexpectedly. For example, ""The sudden noise spooked the horse.""

As a noun, ""spook"" refers to a ghost or a spirit, often in a spooky or eerie context. Additionally, it can informally refer to a spy or someone involved in espionage.

The term can also have a derogatory connotation when used as a racial slur, but this usage is highly offensive and should be avoided.",5
spool,"The word ""spool"" can function as both a noun and a verb.

As a noun, ""spool"" refers to a cylindrical device or object that is used to hold or wind up flexible materials, such as thread, wire, or film. It is often associated with sewing or crafting, where thread is wound around a core.

As a verb, ""to spool"" means to wind or wrap something around a spool or to arrange something (like data or film) for easy access or transport.

In computing, ""spool"" also refers to a process that temporarily stores data before it is sent to a device, such as a printer, allowing for more efficient handling of tasks. 

Overall, the term is versatile and is relevant in various contexts, including sewing, film, and technology.",5
spoon,"The word ""spoon"" can refer to several meanings:

1. **Noun**: A utensil consisting of a circular or oval bowl at the end of a handle, used for eating, stirring, or serving food. It can also refer to the amount of food that a spoon can hold (e.g., a tablespoon).

2. **Verb**: To serve or eat from a bowl or dish using a spoon. It can also mean to cuddle closely, often in a lying position, resembling the way spoons fit into each other.

3. **Slang**: In some contexts, ""spoon"" can refer to a small amount of an object or substance, especially in cooking or baking.

Overall, the most common understanding of ""spoon"" is as a kitchen utensil used for serving or eating.",5
spoon,"The word ""spoon"" has multiple meanings in English:

1. **Noun**: A utensil consisting of a rounded or oval shallow bowl (the scoop) at the end of a handle, used for eating, serving, or preparing food. 

2. **Verb**: To convey food to the mouth using a spoon, or to move something with a scooping motion, as in ""to spoon the soup into a bowl.""

3. **Noun (informal)**: A term of endearment or a reference to a spooning position in cuddling, where two people lie close together with one person's back against the other’s front.

4. **Noun (slang)**: In some contexts, it can refer to a large quantity of something, or to the act of spooning sugar in coffee, etc. 

Overall, ""spoon"" primarily refers to a common kitchen utensil, while also having broader uses in different contexts.",5
spoor,"The word ""spoor"" refers to the tracks or scent markings left by animals, particularly those used to follow or locate them. It can also denote the traces or footprints that indicate the presence of an animal. In a broader sense, ""spoor"" can be used to describe any evidence left behind by a living being. The term is often associated with tracking wildlife in natural settings.",5
spore,"A ""spore"" is a reproductive unit produced by certain organisms, including fungi, algae, and some plants, that can develop into a new individual. Spores are typically single-celled and can withstand harsh environmental conditions, allowing them to survive and germinate when conditions become favorable. In fungi, spores are often released into the air or water to facilitate reproduction and spread. In plants like ferns, spores are part of their life cycle, serving as a means of propagation.",5
sport,"The word ""sport"" refers to physical activities that involve competition or skill. It can encompass a wide range of games and activities, such as team sports (e.g., football, basketball), individual sports (e.g., tennis, swimming), and recreational activities (e.g., hiking, cycling) that are played for enjoyment or exercise. Sports often have specific rules and can be played professionally or casually. The term can also refer to the culture surrounding athletic competition, including fandom and community involvement.",5
spot,"The word ""spot"" can have several meanings in English, depending on the context:

1. **Noun**: A small marked area or stain on a surface, such as a dot or blemish (e.g., a spot on a shirt).
2. **Noun**: A particular place or location (e.g., a nice spot in the park).
3. **Noun**: A specific position or role, often in a competitive context (e.g., she earned a spot on the team).
4. **Verb**: To notice, see, or identify something (e.g., I spotted the error in the document).
5. **Verb**: To place or locate something in a particular spot (e.g., to spot a piece of furniture in a room).

Overall, ""spot"" can refer to both physical locations and the action of identifying or placing something.",4
spout,"The word ""spout"" can function as both a noun and a verb. 

As a noun, ""spout"" refers to:

1. A tube or pipe through which a liquid is discharged (e.g., the spout of a teapot).
2. A nozzle or opening through which something is emitted (e.g., a fountain spout).

As a verb, ""spout"" means:

1. To send forth or emit (liquid or other substances) in a stream or jet (e.g., water spouting from a fountain).
2. To speak or talk in a verbose or a continuous manner, often without much thought (e.g., spouting information or opinions).

Overall, the term is commonly associated with the idea of directing fluids or expressing thoughts in a particular manner.",5
sprag,"The word ""sprag"" can have several meanings depending on the context:

1. **Mechanical Context**: A sprag is a device or component, often a ratchet mechanism, that prevents backward motion. It is used in systems like winches, where it allows movement in one direction but locks to prevent slipping in the opposite direction.

2. **Nautical Context**: In marine terminology, a sprag can refer to a stick or pole used to support or stabilize part of a structure, such as a mast.

3. **Slang/Informal Use**: In some informal contexts, ""sprag"" can refer to a person who is excessively boastful or a show-off.

4. **As a Verb**: To ""sprag"" can mean to wedge or block something in place, often used in a mechanical sense.

Depending on the context you are interested in, the definition may vary. Let me know if you would like more detailed information on a specific use!",5
sprat,"The word ""sprat"" refers to a small, oily fish belonging to the family Clupeidae, which includes herring. Sprats are often used as food and are typically found in the North Atlantic and parts of the North Sea. The term can also refer to the fish in a culinary context, particularly in dishes where they are fried or smoked. Additionally, ""sprat"" can be used informally to describe a small, insignificant, or young person.",5
spray,"The word ""spray"" can be used as both a noun and a verb, and it has several related meanings:

As a verb:
1. **To disperse liquid in small droplets**: To send or scatter small drops of liquid onto a surface or into the air, often using a device like a spray bottle.
2. **To apply a substance in a fine mist**: To treat an area or object with a liquid by using a spraying method, such as applying paint, perfume, or pesticides.

As a noun:
1. **A fine mist of liquid**: A collection of small drops of liquid dispersed in the air, often produced by a spray action.
2. **A device for spraying**: An instrument or container designed to dispense liquid in a spray form, such as a spray can or bottle.
3. **A branch or small shoot**: A botanical term for a branch or sprig, often used to refer to decorative elements in floral arrangements.

Overall, the term generally relates to the action of applying or distributing a liquid in a way that creates a fine mist or droplets.",5
spree,"The word ""spree"" refers to a lively or wild outing or a period of unrestrained activity, often associated with indulgence or excess. It can describe a short period of time during which someone engages in a particular activity, such as shopping, partying, or spending money, often with enthusiasm and a sense of freedom. For example, one might go on a shopping spree, indicating a bout of shopping that is marked by a carefree and excessive attitude.",5
sprig,"The word ""sprig"" refers to a small stem or branch, especially one that has leaves or flowers. It is often used to describe a young shoot of a plant. Additionally, ""sprig"" can also refer to a small piece or twig, as well as a decorative motif resembling a small branch or stem in design. The term is commonly used in contexts related to botany and gardening, as well as in culinary arts when referring to herbs.",5
sprit,"The word ""sprit"" refers to a pole or spar that extends diagonally from the mast of a sailboat to the forward edge of the sail, typically to help support or shape the sail. It is commonly used in sailing terminology. Additionally, ""sprit"" can also refer to a similar structure in other contexts, such as in the rigging of certain types of ships.",5
sprue,"The word ""sprue"" can refer to several things, depending on the context:

1. **In casting**: ""Sprue"" refers to the channel through which molten metal flows into a mold. It is a part of the mold that allows for the filling of the cavity with the liquid material.

2. **In medicine**: ""Sprue"" can refer to a group of conditions involving malabsorption in the intestines. It is commonly associated with celiac disease or tropical sprue, which causes symptoms like diarrhea and weight loss due to the inability to properly absorb nutrients.

3. **In dental practice**: ""Sprue"" can also refer to a small channel used to connect a wax pattern to the sprue base in dental casting processes.

Overall, the context in which the term is used is crucial for understanding its specific meaning.",5
spume,"The word ""spume"" is a noun that refers to froth or foam, especially that which is produced by waves in the sea. It can also describe a light, frothy substance that forms on the surface of a liquid. As a verb, ""to spume"" means to produce or form froth or foam.",5
spunk,"The word 'spunk' can have a couple of meanings in English:

1. **Courage or spiritedness**: It is often used to refer to someone who shows bravery, determination, or a lively spirit. For example, someone might say, ""She has a lot of spunk to stand up for her beliefs.""

2. **Vulgar slang**: In some contexts, 'spunk' can refer to semen or ejaculate.

The meaning of the word can vary greatly depending on the context in which it is used.",5
spur,"The word ""spur"" can have several meanings in English:

1. **Noun**:
   - A device, typically worn on the heel of a boot, that is used to urge a horse forward by digging into its sides.
   - Something that encourages or stimulates action or progress; a motivation or incentive.
   - A projection or growth on a plant or animal, such as a thorn or a bony projection on a bird (e.g., the spur of a rooster).

2. **Verb**:
   - To encourage or prompt someone to take action or to increase the speed or intensity of something. For example, ""The news spurred her to take immediate action.""

In context, you might say, ""The rider used the spur to command the horse,"" or ""The successful project served as a spur for further investment.""",4
spurt,"The word ""spurt"" can be defined as follows:

1. **Verb**: To flow or send out in a sudden, forceful, or rapid manner. For example, a liquid might spurt out of a container.

2. **Noun**: A sudden burst of activity, energy, or growth. For instance, a spurt in speed while running or a growth spurt during adolescence.

In both usages, ""spurt"" conveys the idea of something happening quickly and often with intensity.",5
sputa,"The word ""sputa"" is the plural form of ""sputum,"" which refers to any mucous secretion from the respiratory tract that is expelled through coughing or clearing the throat. Sputum can contain phlegm, bacteria, viruses, or other substances, and it is often analyzed in medical settings to diagnose respiratory conditions.",5
squab,"The word ""squab"" has two primary meanings in English:

1. **As a noun**: It refers to a young bird, especially a young domestic pigeon, that is still in the nest and is not yet ready to fly. Squabs are often raised for meat.

2. **In cuisine**: Squab also specifically denotes the meat of a young pigeon, which is considered a delicacy in various culinary traditions.

Additionally, ""squab"" can also be used informally to describe someone who is plump or chubby, although this use is less common.",5
squad,"The word ""squad"" refers to a small group of people organized for a specific purpose or task. It is commonly used in military or police contexts to denote a team of soldiers or officers working together. In a broader sense, it can also refer to a group of friends or associates who share a common interest or activity, such as a sports team or social group.",5
squat,"The word ""squat"" can have several meanings in English:

1. **Verb**: To crouch down or bend low, typically by bending the knees and lowering the body towards the ground. For example, ""He squatted to tie his shoes.""

2. **Noun**: A position or posture where a person is in a crouched or low stance, often associated with engaging the thighs and hips. For example, ""She held a squat position to stretch her legs.""

3. **Adjective**: Describing something that is short and stocky or low to the ground. For example, ""The building had a squat design.""

4. **Noun (Slang)**: A place, often a vacant building or property, that is occupied by people without legal permission. For example, ""They found a group of squatters living in the abandoned warehouse.""

These definitions illustrate the versatility of the word ""squat"" in different contexts.",5
squaw,"The word ""squaw"" is a term historically used to refer to a Native American woman. However, it is considered outdated and derogatory by many Indigenous people and is associated with stereotypes and disrespect. Therefore, it is important to use caution and sensitivity regarding its usage. In contemporary contexts, it is generally advisable to avoid this term and use more respectful language when referring to Indigenous women.",5
squib,"The word ""squib"" can have a few different meanings depending on the context:

1. **In a general context**: A squib is a short, witty, or satirical piece of writing, often found in newspapers or magazines, which typically highlights a humorous or pointed observation.

2. **In film and theater**: A squib refers to a small explosive device used in special effects to simulate gunfire or explosions, often attached to an actor’s costume or set piece.

3. **In printing**: A squib can refer to a brief news story or advertisement, especially one that is somewhat insignificant or lesser in importance.

4. **In sports**: A squib kick is a type of kickoff in American football that travels a short distance, often to prevent the receiving team from making a lengthy return.

Each of these definitions highlights different usages of the term in various contexts.",5
squid,"A squid is a marine cephalopod mollusk belonging to the order Teuthida. Squids are characterized by their elongated bodies, large eyes, eight arms, and two longer tentacles. They are known for their ability to swim quickly by expelling water from their bodies and for their capacity to change color and texture due to specialized skin cells. Squids are found in oceans around the world and are important both ecologically and as a food source for humans and various marine animals.",5
stab,"The word ""stab"" can function as both a verb and a noun. 

As a verb, ""to stab"" means:
1. To pierce or wound someone or something with a pointed object, typically a knife or a sharp instrument.
2. To make a sudden, thrusting motion with something sharp.

As a noun, ""stab"" refers to:
1. An act of stabbing, or the wound caused by such an act.
2. A sudden or sharp pain, often used in a figurative sense (e.g., a stab of envy or guilt).

The term can also be used metaphorically to describe an action that is thoughtless or harmful to someone, similar to undermining or betraying them.",4
stack,"The word ""stack"" can function as both a noun and a verb, with several meanings:

**As a noun:**
1. A pile of objects, typically arranged in a neat or orderly manner, such as a stack of books or a stack of crates.
2. In computing, a data structure that follows the Last In, First Out (LIFO) principle, where the most recently added element is the first to be removed.
3. A collection of something, like a stack of chips in poker or a stack of pancakes.

**As a verb:**
1. To arrange or place objects in a pile or a neat order, for example, to stack the dishes after washing them.
2. In computing, to organize data in a stack data structure.

Overall, ""stack"" generally implies an orderly arrangement or accumulation of items.",5
